,datetime,cars
445,2021 12 15 07 40 01,1981.0
446,2021 12 15 07 50 01,2303.0
447,2021 12 15 07 59 56,2564.0
448,2021 12 15 08 10 01,2220.0
449,2021 12 15 08 20 01,1710.0
450,2021 12 15 08 30 01,1629.0
451,2021 12 15 08 40 01,1539.0
452,2021 12 15 08 49 56,1509.0
453,2021 12 15 08 59 56,1303.0
454,2021 12 15 09 10 01,1188.0
455,2021 12 15 09 20 01,1239.0
456,2021 12 15 09 30 01,1144.0
457,2021 12 15 09 39 56,1024.0
458,2021 12 15 09 50 01,955.0
459,2021 12 15 10 00 01,919.0
460,2021 12 15 10 10 01,1012.0
461,2021 12 15 10 20 01,1154.0
462,2021 12 15 10 30 01,1231.0
463,2021 12 15 10 40 01,1117.0
464,2021 12 15 10 50 01,1201.0
465,2021 12 15 11 00 01,1109.0
466,2021 12 15 11 10 01,990.0
467,2021 12 15 11 20 01,880.0
468,2021 12 15 11 29 56,770.0
469,2021 12 15 11 40 01,774.0
470,2021 12 15 11 49 56,879.0
471,2021 12 15 12 00 01,822.0
472,2021 12 15 12 10 01,873.0
473,2021 12 15 12 19 56,832.0
474,2021 12 15 12 30 01,724.0
475,2021 12 15 12 40 01,658.0
476,2021 12 15 12 49 56,516.0
477,2021 12 15 13 00 01,216.0
478,2021 12 15 13 09 56,129.0
479,2021 12 15 13 20 01,145.0
480,2021 12 15 13 30 01,39.0
481,2021 12 15 13 40 01,12.0
482,2021 12 15 13 50 01,7.0
483,2021 12 15 13 59 56,35.0
484,2021 12 15 14 10 01,84.0
485,2021 12 15 14 20 01,126.0
486,2021 12 15 14 29 56,109.0
487,2021 12 15 14 40 01,62.0
488,2021 12 15 14 49 56,64.0
489,2021 12 15 15 00 01,38.0
490,2021 12 15 15 10 01,33.0
491,2021 12 15 15 20 01,101.0
492,2021 12 15 15 30 01,1724.0
493,2021 12 15 15 40 01,1898.0
494,2021 12 15 15 50 01,2050.0
495,2021 12 15 15 59 56,1980.0
496,2021 12 15 16 10 01,2225.0
497,2021 12 15 16 20 01,2584.0
498,2021 12 15 16 30 01,2744.0
499,2021 12 15 16 40 01,2590.0
500,2021 12 15 16 49 56,2157.0
501,2021 12 15 16 59 56,2102.0
502,2021 12 15 17 10 01,2071.0
503,2021 12 15 17 20 01,2082.0
504,2021 12 15 17 30 01,1989.0
505,2021 12 15 17 39 56,1843.0
506,2021 12 15 17 49 56,1873.0
507,2021 12 15 18 00 01,1724.0
508,2021 12 15 18 10 01,1725.0
509,2021 12 15 18 19 56,1668.0
510,2021 12 15 18 30 01,1621.0
511,2021 12 15 18 39 56,1497.0
512,2021 12 15 18 50 01,1500.0
513,2021 12 15 19 00 01,1461.0
514,2021 12 15 19 10 01,1345.0
515,2021 12 15 19 19 56,1369.0
516,2021 12 15 19 30 01,1432.0
517,2021 12 15 19 40 01,1282.0
518,2021 12 15 19 50 01,1178.0
519,2021 12 15 20 00 01,1173.0
520,2021 12 15 20 10 01,879.0
521,2021 12 15 20 20 01,924.0
522,2021 12 15 20 30 01,1059.0
523,2021 12 15 20 40 01,1054.0
524,2021 12 15 20 50 01,1017.0
525,2021 12 15 21 00 01,1022.0
526,2021 12 15 21 10 01,944.0
527,2021 12 15 21 20 01,821.0
528,2021 12 15 21 30 01,1053.0
529,2021 12 15 21 40 01,966.0
